title,link,group
acquisition-of-moving-objects-and-hand-eye-coordination,https://www.ijcai.org/Proceedings/75/Papers/111.pdf,
visual-understanding-of-hybrid-circuits-via-procedure-models,https://www.ijcai.org/Proceedings/75/Papers/112.pdf,
decision-analysis-for-an-experimental-robot-with-unreliable-sensors,https://www.ijcai.org/Proceedings/75/Papers/113.pdf,
an-overview-of-al-a-programming-system-for-automation,https://www.ijcai.org/Proceedings/75/Papers/113A.pdf,
a-hand-eye-robot-simulating-system,https://www.ijcai.org/Proceedings/75/Papers/114.pdf,
some-aspects-of-sensory-instrumentation-for-robots-and-manipulators,https://www.ijcai.org/Proceedings/75/Papers/115.pdf,
control-of-a-pcb-drilling-machine-by-visual-feedback,https://www.ijcai.org/Proceedings/75/Papers/116.pdf,
heuristics-in-the-alloy-designing,https://www.ijcai.org/Proceedings/75/Papers/117.pdf,
problems-of-selecting-a-gait-for-an-integrated-locomotion-robot,https://www.ijcai.org/Proceedings/75/Papers/118.pdf,
walking-robot-a-non-deterministic-modal-of-control,https://www.ijcai.org/Proceedings/75/Papers/119.pdf,
perceptive-robot-moving-in-3d-world,https://www.ijcai.org/Proceedings/75/Papers/120.pdf,
scene-segmentation-by-velocity-measurements-obtained-with-a-cross-shaped-template,https://www.ijcai.org/Proceedings/75/Papers/121.pdf,
recognition-of-an-object-in-a-stack-of-industrial-parts,https://www.ijcai.org/Proceedings/75/Papers/122.pdf,
a-machine-vision-for-complex-industrial-parts-with-learning-capability,https://www.ijcai.org/Proceedings/75/Papers/123.pdf,
question-answer-a-multipurpose-information-system,https://www.ijcai.org/Proceedings/75/Papers/124.pdf,
progress-on-a-computer-based-consultant,https://www.ijcai.org/Proceedings/75/Papers/125.pdf,
knowledge-based-english-language-systems-for-management-support-an-analysis-of-requirements,https://www.ijcai.org/Proceedings/75/Papers/126.pdf,
dialog-a-model-of-diagnostic-logic-for-internal-medicine,https://www.ijcai.org/Proceedings/75/Papers/127.pdf,
the-role-of-hypotheses-in-medical-diagnosis,https://www.ijcai.org/Proceedings/75/Papers/127A.pdf,
the-use-of-informal-calculus-in-problems-of-artificial-intellect,https://www.ijcai.org/Proceedings/75/Papers/128.pdf,
natural-language-access-to-a-large-data-base-an-engineering-approach,https://www.ijcai.org/Proceedings/75/Papers/129.pdf,
simulation-of-functions-of-composer-and-musicologist-on-electronic-computer,https://www.ijcai.org/Proceedings/75/Papers/130.pdf,
